"trial_type","trial_index","time_elapsed","internal_node_id","subject","prolific_id","study_id","session_id","condition","rt","url","view_history","response","question_order","value","question","options","llm_answer","population_answer","task","subj_id","label","example_id","variant","main_variant","topic","prompt","llm_support_used","llm_support_clicks","0","btn_clicked","score","timeToClick","modelPred","humanCorrect","modelCorrect","interfaceType","modelPredDist","human_support_used","human_support_clicks","recommendation_lists","incorrect_answers_by_category","recommendation","LLM_outsourcing_overridden","human_outsourcing_overridden","ai_orch_agreement","human_orch_agreement","self_orch_agreement","stimulus"
"pavlovia","0","2172","0.0-0.0","qfj827myosbwn6m","675c65ec27cd0a6fc7c15701","67b62c430b9240ccd8986e70","67b63d1a7825daf039f650db","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","9969","0.0-1.0","qfj827myosbwn6m","675c65ec27cd0a6fc7c15701","67b62c430b9240ccd8986e70","67b63d1a7825daf039f650db","3","7793.5999999996275","consent.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","2","1230062","0.0-2.0-0.0","qfj827myosbwn6m","675c65ec27cd0a6fc7c15701","67b62c430b9240ccd8986e70","67b63d1a7825daf039f650db","3","1220092","","[{""page_index"":0,""viewing_time"":1029217.4000000004},{""page_index"":1,""viewing_time"":10937.900000000373},{""page_index"":2,""viewing_time"":4061.5},{""page_index"":1,""viewing_time"":28616.699999999255},{""page_index"":2,""viewing_time"":7148.5999999996275},{""page_index"":3,""viewing_time"":109031.80000000075},{""page_index"":4,""viewing_time"":6977.300000000745},{""page_index"":5,""viewing_time"":16284.5},{""page_index"":6,""viewing_time"":1706.2999999988824},{""page_index"":7,""viewing_time"":6109.800000000745}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","3","1239689","0.0-2.0-1.0","qfj827myosbwn6m","675c65ec27cd0a6fc7c15701","67b62c430b9240ccd8986e70","67b63d1a7825daf039f650db","3","9625.099999999627","","","{""Q0"":""The answer to a mutliple choice question."",""Q1"":""Clicking on a radio button.""}","[0,1]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","4","1261890","0.0-3.0","qfj827myosbwn6m","675c65ec27cd0a6fc7c15701","67b62c430b9240ccd8986e70","67b63d1a7825daf039f650db","3","22200.300000000745","","[{""page_index"":0,""viewing_time"":22200.099999999627}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","5","1261891","0.0-4.0-0.0","qfj827myosbwn6m","675c65ec27cd0a6fc7c15701","67b62c430b9240ccd8986e70","67b63d1a7825daf039f650db","3","","","","","","defer","The positive square root of 200 is what percent larger than the positive square root of 121? Express your answer to the nearest whole number.","[""29"",""14"",""27"",""11""]","C","A","modiste","","A","197","algLinUCB_0.9","diff-topics","high_school_mathematics","The following are multiple choice questions about high_school_mathematics.
Colton and his dad bought a gallon of paint that cost $13. They also bought 2 brushes that cost $9 each. What was the total cost, not including tax, of the brushes and the paint they bought?
(A) $22, (B) $24, (C) $31, (D) $35
Answer: C
Solve for y. y – 2 + 3y = 10
(A) 2, (B) 3, (C) 4, (D) 5
Answer: B
Solve 3 over 2 * w = 66.
(A) 33, (B) 44, (C) 88, (D) 99
Answer: B
Write 5.875 as a mixed number or fraction in simplest form.
(A) 5 and 8 over 9, (B) 5 and 7 over 8, (C) 7 over 8, (D) 5 and 87 over 105
Answer: B
Solve the equation 124 = m + 34.
(A) 158, (B) 90, (C) 88, (D) 4,216
Answer: B
Zelma buys p pounds of bananas for 40 cents per pound. She pays the clerk with a twenty-dollar bill. The clerk subtracts the total cost of the bananas from the twenty-dollar bill to determine the amount of change to give Zelma. Which expression represents the amount of change Zelma should receive?
(A) p - 20, (B) 20 - 40p, (C) 20 - 0.40p, (D) 0.40p - 20
Answer: C
Please answer the following question with just the correct option (A, B, C, or D) without any explanation or additional text.
The positive square root of 200 is what percent larger than the positive square root of 121? Express your answer to the nearest whole number.
(A) '29', (B) '14', (C) '27', (D) '11'
Answer:","true","2","","","","","","","","","","","","","","","","","","","",""
"survey-html-form","6","1352688","0.0-4.0-1.0","qfj827myosbwn6m","675c65ec27cd0a6fc7c15701","67b62c430b9240ccd8986e70","67b63d1a7825daf039f650db","3","90795.5","","","{""mcAnswer"":""C""}","","","The positive square root of 200 is what percent larger than the positive square root of 121? Express your answer to the nearest whole number.","[""29"",""14"",""27"",""11""]","C","A","modiste","","A","197","algLinUCB_0.9","diff-topics","high_school_mathematics","The following are multiple choice questions about high_school_mathematics.
Colton and his dad bought a gallon of paint that cost $13. They also bought 2 brushes that cost $9 each. What was the total cost, not including tax, of the brushes and the paint they bought?
(A) $22, (B) $24, (C) $31, (D) $35
Answer: C
Solve for y. y – 2 + 3y = 10
(A) 2, (B) 3, (C) 4, (D) 5
Answer: B
Solve 3 over 2 * w = 66.
(A) 33, (B) 44, (C) 88, (D) 99
Answer: B
Write 5.875 as a mixed number or fraction in simplest form.
(A) 5 and 8 over 9, (B) 5 and 7 over 8, (C) 7 over 8, (D) 5 and 87 over 105
Answer: B
Solve the equation 124 = m + 34.
(A) 158, (B) 90, (C) 88, (D) 4,216
Answer: B
Zelma buys p pounds of bananas for 40 cents per pound. She pays the clerk with a twenty-dollar bill. The clerk subtracts the total cost of the bananas from the twenty-dollar bill to determine the amount of change to give Zelma. Which expression represents the amount of change Zelma should receive?
(A) p - 20, (B) 20 - 40p, (C) 20 - 0.40p, (D) 0.40p - 20
Answer: C
Please answer the following question with just the correct option (A, B, C, or D) without any explanation or additional text.
The positive square root of 200 is what percent larger than the positive square root of 121? Express your answer to the nearest whole number.
(A) '29', (B) '14', (C) '27', (D) '11'
Answer:","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","C","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","true","2","","false","97","-1","C","false","false","defer","[]","false","0","{""elementary_mathematics"":[""40/50"",""31/50"",""4 / 5""],""high_school_mathematics"":[""27/50"",""22/51"",""3 / 5""],""college_mathematics"":[""22/50"",""26/50"",""2 / 5""]}","{""high_school_mathematics"":false}","You should attempt this problem by yourself","false","null","null","null","false",""
"image-keyboard-response","7","1354201","0.0-4.0-2.0","qfj827myosbwn6m","675c65ec27cd0a6fc7c15701","67b62c430b9240ccd8986e70","67b63d1a7825daf039f650db","3","null","","","null","","","The positive square root of 200 is what percent larger than the positive square root of 121? Express your answer to the nearest whole number.","[""29"",""14"",""27"",""11""]","C","A","modiste","","A","197","algLinUCB_0.9","diff-topics","high_school_mathematics","The following are multiple choice questions about high_school_mathematics.
Colton and his dad bought a gallon of paint that cost $13. They also bought 2 brushes that cost $9 each. What was the total cost, not including tax, of the brushes and the paint they bought?
(A) $22, (B) $24, (C) $31, (D) $35
Answer: C
Solve for y. y – 2 + 3y = 10
(A) 2, (B) 3, (C) 4, (D) 5
Answer: B
Solve 3 over 2 * w = 66.
(A) 33, (B) 44, (C) 88, (D) 99
Answer: B
Write 5.875 as a mixed number or fraction in simplest form.
(A) 5 and 8 over 9, (B) 5 and 7 over 8, (C) 7 over 8, (D) 5 and 87 over 105
Answer: B
Solve the equation 124 = m + 34.
(A) 158, (B) 90, (C) 88, (D) 4,216
Answer: B
Zelma buys p pounds of bananas for 40 cents per pound. She pays the clerk with a twenty-dollar bill. The clerk subtracts the total cost of the bananas from the twenty-dollar bill to determine the amount of change to give Zelma. Which expression represents the amount of change Zelma should receive?
(A) p - 20, (B) 20 - 40p, (C) 20 - 0.40p, (D) 0.40p - 20
Answer: C
Please answer the following question with just the correct option (A, B, C, or D) without any explanation or additional text.
The positive square root of 200 is what percent larger than the positive square root of 121? Express your answer to the nearest whole number.
(A) '29', (B) '14', (C) '27', (D) '11'
Answer:","","","","","","","","","","","","","","","","","","","","","","feedback_imgs/Incorrect.png"
