filename,prolific_id,subject,Q0,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
nli_orchestration_var_2_PARTICIPANT_SESSION_2025-02-19_13h30.32.477.csv,65957cc2d41780a47a18bd91,eeabuqfya43up23,10,6,1,5,NO,YES,YES,Not too long,The survey was interesting
nli_orchestration_var_2_PARTICIPANT_SESSION_2025-02-19_15h37.30.534.csv,66ea708303a080b84cc628a1,dgt36f2quvomc98,10,7,8,9,Yes.,Yes.,Yes.,No.,No.
nli_orchestration_var_2_PARTICIPANT_SESSION_2025-02-19_14h35.03.817.csv,5dcca2db88381e92c96b9ac5,8ns15d0qgmh6w8n,10,4,5,6,complex math,simple math,yes,no,no
nli_orchestration_var_2_PARTICIPANT_SESSION_2025-02-19_16h31.46.245.csv,675c65ec27cd0a6fc7c15701,qfj827myosbwn6m,10,0,5,7,,LCM and equations,"About 3 seconds delay, I presume to let us read the question well",no,
nli_orchestration_var_2_PARTICIPANT_SESSION_2025-02-19_13h58.14.41.csv,668048bf23b961683549d089,qn3ur87dsephmtc,8,4,6,5,College math,Elementary,A bit,Just a little ,
nli_orchestration_var_2_PARTICIPANT_SESSION_2025-02-19_13h05.20.107.csv,6771bbe322322bf003bae1f2,0l470lfexldeb9q,10,1,7,8,The equation of the circle and its related information,The very common basic knowledge BODMAS questions ,yes,it was enough and well timed,N/A
nli_orchestration_var_2_PARTICIPANT_SESSION_2025-02-19_15h32.31.447.csv,672ecdbeedfeb33b3b552451,nkcuudhu5lbklqn,10,10,10,8,"
Any fractions",Yes there were quite a few,yes on some,not at all,
nli_orchestration_var_2_PARTICIPANT_SESSION_2025-02-19_12h38.59.756.csv,6669e7470edffb0d8da619c2,2vll9ku1bv0sco8,8,4,5,7,graphs are a bit challenging ,basic calculations,no,,"I notice that solving the questions myself would take some time, I just end up using the AI or human."
nli_orchestration_var_2_PARTICIPANT_SESSION_2025-02-19_13h09.03.673.csv,67a7c801931fc920c139e3b8,r9q5pcn38a7hzw5,10,4,3,10,"yes, but few",none actually,a bit,no,
nli_orchestration_var_2_PARTICIPANT_SESSION_2025-02-19_15h26.11.699.csv,671c727b78c1624a723eade1,6gcvdqnh6082gj9,10,10,0,8,Yes math,Yes the easy ones ,Yes,No not at all,No I had fun in this survey thank you
nli_orchestration_var_2_PARTICIPANT_SESSION_2025-02-19_13h57.52.130.csv,59db7128e776fd00015ec895,y746dya1xmdh555,10,3,9,10,algebra,elementary,yes,no,
nli_orchestration_var_2_PARTICIPANT_SESSION_2025-02-19_15h04.22.354.csv,67658116d1ff218b001f2bf1,d2q0tt9d96u8bev,,6,8,9,College math,Elementary math,Yes,No,None
nli_orchestration_var_2_PARTICIPANT_SESSION_2025-02-19_17h23.04.326.csv,65cb7d52b59b7dd58392e0ba,my9o4yokqh4jlbv,10,0,20,85,WELL CALCULATION I GUESS ,YES COMPREHENSIVE MATHS.,YES ,IT WAS MAYBE TOO SHORT FOR SOME QUESTIONS WHILE BEING TOO LONG FOR SOME OTHERS,THIS SURVEY WAS WORTH IT. MY BRAIN BECAME SHARPER A LITTLE THANKS!!
nli_orchestration_var_2_PARTICIPANT_SESSION_2025-02-19_16h08.31.600.csv,6174b049932ee98236563b51,t6odhfgx819d491,9,4,6,9,"some of the high school and college math. Some of it was not written in ways that i had learned, thus making the problems very difficult.",some,yes,not really,"There were some questions that I was quite confident that I answered correctly, but was told was incorrect. And some of them were very easy questions."
nli_orchestration_var_2_PARTICIPANT_SESSION_2025-02-19_16h04.26.969.csv,5b16d24d388d8b00014fa6e6,l53jgehrslhjz1h,10,5,2,6,no,no,yes,no,n/a
nli_orchestration_var_2_PARTICIPANT_SESSION_2025-02-19_15h10.21.718.csv,67340dae06b44d7b77b79406,ehgqn2t5yarktcd,9,4,6,9,Anything to do with graphing. ,Elementary school simple equations.,Yes.,No,"There was possible an issue with the coding to text. I assume it was meant to be a multiplication sign but showed as ""cdot"". For the factorial question of 5! it showed 5cdot 4cdot, etc, so that may be confusing for some people."
nli_orchestration_var_2_PARTICIPANT_SESSION_2025-02-19_15h08.02.964.csv,6717a32bba602b1ce6de995a,a663hvj6ynbhc0e,10,8,6,8,No,No,Yes,No,No
nli_orchestration_var_2_PARTICIPANT_SESSION_2025-02-19_15h24.36.446.csv,60fdce771ceebe2ff0194869,o46xql1fy99pkn7,10,2,4,7,A lot of the college math topics,Word problems,Yes,no,
nli_orchestration_var_2_PARTICIPANT_SESSION_2025-02-19_14h42.42.881.csv,673204494167687dfb6a5747,w8dx01bw9jlapf7,7,1,4,6,A lot of the math topics used calculus skills that I haven't practiced in a while.,Basic math questions were very straightforward,For most questions no because they took a while to work through. For the basic questions yes,"No the delay was fine. However, I didn't like being forced to use a human/ai agent in some cases.",Thanks for giving me the chance to participate!
nli_orchestration_var_2_PARTICIPANT_SESSION_2025-02-19_14h23.40.146.csv,5a8b61fcf1408d000176b02f,2v9gx65uv0feq2t,10,2,8,10,most,mpst,yea,no,thank you  it was fun
