topic,llm_answer,population_answer,response,label,llm_support_used,human_support_used,LLM_outsourcing_overridden,human_outsourcing_overridden,ai_orch_agreement,human_orch_agreement,self_orch_agreement,recommendation,recommendation_lists,incorrect_answers_by_category,user_self
elementary_mathematics,D,D,D,D,False,False,,,,,True,You should attempt this problem by yourself,"{""elementary_mathematics"":[""40/50"",""31/50"",""5/6""],""high_school_mathematics"":[""27/50"",""22/50"",""3 / 5""],""college_mathematics"":[""22/50"",""26/50"",""2 / 5""]}","{""elementary_mathematics"":false}",True
elementary_mathematics,B,D,B,B,False,False,,,,,True,You should attempt this problem by yourself,"{""elementary_mathematics"":[""40/50"",""31/50"",""6/7""],""high_school_mathematics"":[""27/50"",""22/50"",""3 / 5""],""college_mathematics"":[""22/50"",""26/50"",""2 / 5""]}","{""elementary_mathematics"":false}",True
elementary_mathematics,C,C,C,C,True,False,False,,,,False,You should attempt this problem by yourself,"{""elementary_mathematics"":[""40/50"",""32/51"",""6/7""],""high_school_mathematics"":[""27/50"",""22/50"",""3 / 5""],""college_mathematics"":[""22/50"",""26/50"",""2 / 5""]}","{""elementary_mathematics"":false}",False
elementary_mathematics,D,D,D,D,False,False,,,,,True,You should attempt this problem by yourself,"{""elementary_mathematics"":[""40/50"",""32/51"",""7/8""],""high_school_mathematics"":[""27/50"",""22/50"",""3 / 5""],""college_mathematics"":[""22/50"",""26/50"",""2 / 5""]}","{""elementary_mathematics"":false}",True
elementary_mathematics,B,A,C,A,False,False,,,,,True,You should attempt this problem by yourself,"{""elementary_mathematics"":[""40/50"",""32/51"",""7/9""],""high_school_mathematics"":[""27/50"",""22/50"",""3 / 5""],""college_mathematics"":[""22/50"",""26/50"",""2 / 5""]}","{""elementary_mathematics"":true}",True
elementary_mathematics,B,B,B,B,True,False,False,,,False,,You were wrong by yourself on elementary_mathematics last time. You should outsource this problem to a human agent,"{""elementary_mathematics"":[""40/50"",""33/52"",""7/9""],""high_school_mathematics"":[""27/50"",""22/50"",""3 / 5""],""college_mathematics"":[""22/50"",""26/50"",""2 / 5""]}","{""elementary_mathematics"":false}",False
elementary_mathematics,C,C,C,C,False,False,,,,False,,You should outsource this problem to a human agent,"{""elementary_mathematics"":[""40/50"",""33/52"",""8/10""],""high_school_mathematics"":[""27/50"",""22/50"",""3 / 5""],""college_mathematics"":[""22/50"",""26/50"",""2 / 5""]}","{""elementary_mathematics"":false}",True
college_mathematics,C,B,C,B,True,False,False,,True,,,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[""40/50"",""33/52"",""8/10""],""high_school_mathematics"":[""27/50"",""22/50"",""3 / 5""],""college_mathematics"":[""22/50"",""26/51"",""2 / 5""]}","{""elementary_mathematics"":false,""college_mathematics"":false}",False
high_school_mathematics,A,A,A,A,True,False,False,,,,False,You should attempt this problem by yourself,"{""elementary_mathematics"":[""40/50"",""33/52"",""8/10""],""high_school_mathematics"":[""27/50"",""23/51"",""3 / 5""],""college_mathematics"":[""22/50"",""26/51"",""2 / 5""]}","{""elementary_mathematics"":false,""college_mathematics"":false,""high_school_mathematics"":false}",False
high_school_mathematics,A,A,A,C,True,False,False,,,,False,You should attempt this problem by yourself,"{""elementary_mathematics"":[""40/50"",""33/52"",""8/10""],""high_school_mathematics"":[""27/50"",""23/52"",""3 / 5""],""college_mathematics"":[""22/50"",""26/51"",""2 / 5""]}","{""elementary_mathematics"":false,""college_mathematics"":false,""high_school_mathematics"":false}",False
