topic,llm_answer,population_answer,response,label,llm_support_used,human_support_used,LLM_outsourcing_overridden,human_outsourcing_overridden,ai_orch_agreement,human_orch_agreement,self_orch_agreement,recommendation,recommendation_lists,incorrect_answers_by_category
high_school_mathematics,B,C,D,C,False,False,,,,,True,You should attempt this problem by yourself,"{""elementary_mathematics"":[""40/50"",""31/50"",""4 / 5""],""high_school_mathematics"":[""27/50"",""22/50"",""3/6""],""college_mathematics"":[""22/50"",""26/50"",""2 / 5""]}","{""high_school_mathematics"":true}"
high_school_mathematics,C,B,B,B,False,True,,False,,True,,You were wrong by yourself on high_school_mathematics last time. You should outsource this problem to a human agent,"{""elementary_mathematics"":[""40/50"",""31/50"",""4 / 5""],""high_school_mathematics"":[""28/51"",""22/50"",""3/6""],""college_mathematics"":[""22/50"",""26/50"",""2 / 5""]}","{""high_school_mathematics"":false}"
elementary_mathematics,B,D,B,D,False,False,,,,,True,You should attempt this problem by yourself,"{""elementary_mathematics"":[""40/50"",""31/50"",""4/6""],""high_school_mathematics"":[""28/51"",""22/50"",""3/6""],""college_mathematics"":[""22/50"",""26/50"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":true}"
high_school_mathematics,B,C,C,D,False,True,,False,,True,,You should outsource this problem to a human agent,"{""elementary_mathematics"":[""40/50"",""31/50"",""4/6""],""high_school_mathematics"":[""28/52"",""22/50"",""3/6""],""college_mathematics"":[""22/50"",""26/50"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":true}"
high_school_mathematics,B,B,B,B,True,False,False,,,False,,You should outsource this problem to a human agent,"{""elementary_mathematics"":[""40/50"",""31/50"",""4/6""],""high_school_mathematics"":[""28/52"",""23/51"",""3/6""],""college_mathematics"":[""22/50"",""26/50"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":true}"
high_school_mathematics,C,C,C,B,True,False,False,,,False,,You should outsource this problem to a human agent,"{""elementary_mathematics"":[""40/50"",""31/50"",""4/6""],""high_school_mathematics"":[""28/52"",""23/52"",""3/6""],""college_mathematics"":[""22/50"",""26/50"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":true}"
elementary_mathematics,D,C,C,C,False,True,,False,,True,,You were wrong by yourself on elementary_mathematics last time. You should outsource this problem to a human agent,"{""elementary_mathematics"":[""41/51"",""31/50"",""4/6""],""high_school_mathematics"":[""28/52"",""23/52"",""3/6""],""college_mathematics"":[""22/50"",""26/50"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":false}"
elementary_mathematics,C,C,C,C,False,False,,,,False,,You should outsource this problem to a human agent,"{""elementary_mathematics"":[""41/51"",""31/50"",""5/7""],""high_school_mathematics"":[""28/52"",""23/52"",""3/6""],""college_mathematics"":[""22/50"",""26/50"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":false}"
elementary_mathematics,B,B,B,B,False,False,,,,False,,You should outsource this problem to a human agent,"{""elementary_mathematics"":[""41/51"",""31/50"",""6/8""],""high_school_mathematics"":[""28/52"",""23/52"",""3/6""],""college_mathematics"":[""22/50"",""26/50"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":false}"
high_school_mathematics,C,C,C,C,False,True,,False,,True,,You should outsource this problem to a human agent,"{""elementary_mathematics"":[""41/51"",""31/50"",""6/8""],""high_school_mathematics"":[""29/53"",""23/52"",""3/6""],""college_mathematics"":[""22/50"",""26/50"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":false}"
college_mathematics,A,B,A,C,True,False,False,,True,,,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[""41/51"",""31/50"",""6/8""],""high_school_mathematics"":[""29/53"",""23/52"",""3/6""],""college_mathematics"":[""22/50"",""26/51"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":false,""college_mathematics"":false}"
high_school_mathematics,C,C,C,C,False,True,,False,,True,,You should outsource this problem to a human agent,"{""elementary_mathematics"":[""41/51"",""31/50"",""6/8""],""high_school_mathematics"":[""30/54"",""23/52"",""3/6""],""college_mathematics"":[""22/50"",""26/51"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":false,""college_mathematics"":false}"
college_mathematics,B,C,B,C,True,False,False,,True,,,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[""41/51"",""31/50"",""6/8""],""high_school_mathematics"":[""30/54"",""23/52"",""3/6""],""college_mathematics"":[""22/50"",""26/52"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":false,""college_mathematics"":false}"
college_mathematics,B,D,B,D,True,False,False,,True,,,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[""41/51"",""31/50"",""6/8""],""high_school_mathematics"":[""30/54"",""23/52"",""3/6""],""college_mathematics"":[""22/50"",""26/53"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":false,""college_mathematics"":false}"
elementary_mathematics,A,B,B,B,False,False,,,,False,,You should outsource this problem to a human agent,"{""elementary_mathematics"":[""41/51"",""31/50"",""7/9""],""high_school_mathematics"":[""30/54"",""23/52"",""3/6""],""college_mathematics"":[""22/50"",""26/53"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":false,""college_mathematics"":false}"
high_school_mathematics,B,A,A,A,False,True,,False,,True,,You should outsource this problem to a human agent,"{""elementary_mathematics"":[""41/51"",""31/50"",""7/9""],""high_school_mathematics"":[""31/55"",""23/52"",""3/6""],""college_mathematics"":[""22/50"",""26/53"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":false,""college_mathematics"":false}"
elementary_mathematics,B,C,C,C,False,False,,,,False,,You should outsource this problem to a human agent,"{""elementary_mathematics"":[""41/51"",""31/50"",""8/10""],""high_school_mathematics"":[""31/55"",""23/52"",""3/6""],""college_mathematics"":[""22/50"",""26/53"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":false,""college_mathematics"":false}"
college_mathematics,B,B,B,B,True,False,False,,True,,,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[""41/51"",""31/50"",""8/10""],""high_school_mathematics"":[""31/55"",""23/52"",""3/6""],""college_mathematics"":[""22/50"",""27/54"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":false,""college_mathematics"":false}"
high_school_mathematics,B,C,C,A,False,True,,False,,True,,You should outsource this problem to a human agent,"{""elementary_mathematics"":[""41/51"",""31/50"",""8/10""],""high_school_mathematics"":[""31/56"",""23/52"",""3/6""],""college_mathematics"":[""22/50"",""27/54"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":false,""college_mathematics"":false}"
elementary_mathematics,D,D,D,D,False,True,,False,,True,,You should outsource this problem to a human agent,"{""elementary_mathematics"":[""42/52"",""31/50"",""8/10""],""high_school_mathematics"":[""31/56"",""23/52"",""3/6""],""college_mathematics"":[""22/50"",""27/54"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":false,""college_mathematics"":false}"
college_mathematics,D,D,D,D,True,False,False,,True,,,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[""42/52"",""31/50"",""8/10""],""high_school_mathematics"":[""31/56"",""23/52"",""3/6""],""college_mathematics"":[""22/50"",""28/55"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":false,""college_mathematics"":false}"
college_mathematics,A,A,A,A,True,False,False,,True,,,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[""42/52"",""31/50"",""8/10""],""high_school_mathematics"":[""31/56"",""23/52"",""3/6""],""college_mathematics"":[""22/50"",""29/56"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":false,""college_mathematics"":false}"
elementary_mathematics,A,A,A,A,False,False,,,,False,,You should outsource this problem to a human agent,"{""elementary_mathematics"":[""42/52"",""31/50"",""9/11""],""high_school_mathematics"":[""31/56"",""23/52"",""3/6""],""college_mathematics"":[""22/50"",""29/56"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":false,""college_mathematics"":false}"
college_mathematics,A,A,A,A,True,False,False,,True,,,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[""42/52"",""31/50"",""9/11""],""high_school_mathematics"":[""31/56"",""23/52"",""3/6""],""college_mathematics"":[""22/50"",""30/57"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":false,""college_mathematics"":false}"
high_school_mathematics,B,B,B,B,False,True,,False,,True,,You should outsource this problem to a human agent,"{""elementary_mathematics"":[""42/52"",""31/50"",""9/11""],""high_school_mathematics"":[""32/57"",""23/52"",""3/6""],""college_mathematics"":[""22/50"",""30/57"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":false,""college_mathematics"":false}"
elementary_mathematics,B,A,A,A,False,False,,,,,True,You should attempt this problem by yourself,"{""elementary_mathematics"":[""42/52"",""31/50"",""10/12""],""high_school_mathematics"":[""32/57"",""23/52"",""3/6""],""college_mathematics"":[""22/50"",""30/57"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":false,""college_mathematics"":false}"
